@PG,,,ID:bwa,PN:bwa,,VN:0.7.17-r1188,CL:bwa,mem,#NAME?,10,/cluster/project/gdc/shared/p298/Rishi/PostPhaseScaffoldingGenomes/WF_Canu.chr.fasta,/cluster/project/gdc/shared/p298/Rishi/LinkageMap/SpeciesAveragedMap.fasta,,,,,,
consensus_41126,SA15,56.36,0,PGA,scaffold10,2832229,60,x,x,x,x,x,x,x,x,x,x,x
consensus_45028,SA15,57.02,0,PGA,scaffold10,3975339,60,x,x,x,x,x,x,x,x,x,x,x
consensus_36445,SA15,57.34,0,PGA,scaffold10,6072514,60,x,x,x,x,x,x,x,x,x,x,x
consensus_49783,SA15,57.67,0,PGA,scaffold20,53421156,60,x,x,x,x,x,x,x,x,x,x,x
consensus_15893,SA15,57.99,16,PGA,scaffold10,5972293,60,x,x,x,x,x,x,x,x,x,x,x
consensus_26733,SA15,57.99,0,Contig,14346.015619F,5558,60,x,x,x,x,x,x,x,x,x,x,x
consensus_11370,SA15,60.31,0,PGA,scaffold10,35051008,60,x,x,x,x,x,x,x,x,x,x,x
consensus_32417,SA15,60.31,16,PGA,scaffold10,15544131,60,x,x,x,x,x,x,x,x,x,x,x
consensus_30507,SA15,60.63,0,PGA,scaffold10,25246427,60,x,x,x,x,x,x,x,x,x,x,x
consensus_4296,SA15,60.63,0,PGA,scaffold10,35050922,60,x,x,x,x,x,x,x,x,x,x,x
consensus_33423,SA15,60.96,16,PGA,scaffold10,3492253,60,x,x,x,x,x,x,x,x,x,x,x
consensus_28699,SA15,60.96,0,PGA,scaffold10,13597692,40,x,x,x,x,x,x,x,x,x,x,x
consensus_30967,SA15,61.28,16,PGA,scaffold10,7359586,60,x,x,x,x,x,x,x,x,x,x,x
consensus_23686,SA15,61.61,0,PGA,scaffold10,22156464,60,x,x,x,x,x,x,x,x,x,x,x
consensus_24067,SA15,62.59,16,PGA,scaffold10,33341022,60,x,x,x,x,x,x,x,x,x,x,x
consensus_28128,SA15,62.92,16,PGA,scaffold10,25618214,60,x,x,x,x,x,x,x,x,x,x,x
consensus_48077,SA15,64.9,0,PGA,scaffold10,43158418,60,x,x,x,x,x,x,x,x,x,x,x
consensus_28092,SA16,1.65,0,PGA,scaffold3,86131806,60,x,x,x,x,x,x,x,x,x,x,x
consensus_67709,SA16,3.64,0,PGA,scaffold3,89496491,60,x,x,x,x,x,x,x,x,x,x,x
consensus_12514,SA16,4.29,16,PGA,scaffold3,87560184,60,x,x,x,x,x,x,x,x,x,x,x
consensus_50811,SA16,4.29,0,PGA,scaffold3,74147234,56,x,x,x,x,x,x,x,x,x,x,x
consensus_19547,SA16,4.62,16,PGA,scaffold3,89940568,60,x,x,x,x,x,x,x,x,x,x,x
consensus_40165,SA16,4.94,0,PGA,scaffold3,78950750,60,x,x,x,x,x,x,x,x,x,x,x
consensus_32212,SA16,5.27,16,PGA,scaffold3,85313438,54,x,x,x,x,x,x,x,x,x,x,x
consensus_49437,SA16,5.27,0,PGA,scaffold3,86040650,60,x,x,x,x,x,x,x,x,x,x,x
consensus_37741,SA16,5.27,0,PGA,scaffold3,86128688,60,x,x,x,x,x,x,x,x,x,x,x
consensus_13952,SA16,5.59,0,PGA,scaffold3,78505041,60,x,x,x,x,x,x,x,x,x,x,x
consensus_38592,SA16,5.92,0,PGA,scaffold3,86361045,37,x,x,x,x,x,x,x,x,x,x,x
consensus_30554,SA16,5.92,0,PGA,scaffold3,81976552,60,x,x,x,x,x,x,x,x,x,x,x
consensus_20625,SA16,5.92,16,PGA,scaffold3,86200277,60,x,x,x,x,x,x,x,x,x,x,x
consensus_33977,SA16,5.92,0,PGA,scaffold3,88619411,60,x,x,x,x,x,x,x,x,x,x,x
consensus_5475,SA16,5.92,16,PGA,scaffold3,84671885,60,x,x,x,x,x,x,x,x,x,x,x
consensus_32887,SA16,5.92,0,PGA,scaffold3,86193286,60,x,x,x,x,x,x,x,x,x,x,x
consensus_50083,SA16,5.92,0,PGA,scaffold3,87560098,60,x,x,x,x,x,x,x,x,x,x,x
consensus_68327,SA16,6.25,0,PGA,scaffold3,82387103,60,x,x,x,x,x,x,x,x,x,x,x
consensus_10451,SA16,6.25,0,PGA,scaffold3,76183087,60,x,x,x,x,x,x,x,x,x,x,x
consensus_35129,SA16,6.25,0,PGA,scaffold3,86637598,60,x,x,x,x,x,x,x,x,x,x,x
consensus_22877,SA16,6.25,16,PGA,scaffold3,88515681,60,x,x,x,x,x,x,x,x,x,x,x
consensus_40529,SA16,7.9,0,PGA,scaffold3,86414919,60,x,x,x,x,x,x,x,x,x,x,x
consensus_55450,SA16,7.9,16,PGA,scaffold3,85072295,60,x,x,x,x,x,x,x,x,x,x,x
consensus_17432,SA16,7.9,16,PGA,scaffold3,87374237,60,x,x,x,x,x,x,x,x,x,x,x
consensus_65322,SA16,7.9,16,PGA,scaffold3,81780898,60,x,x,x,x,x,x,x,x,x,x,x
consensus_44136,SA16,7.9,16,PGA,scaffold3,85146977,60,x,x,x,x,x,x,x,x,x,x,x
consensus_10150,SA16,7.9,0,PGA,scaffold3,84640339,60,x,x,x,x,x,x,x,x,x,x,x
consensus_3530,SA16,8.22,16,PGA,scaffold3,84671971,60,x,x,x,x,x,x,x,x,x,x,x
consensus_31961,SA16,8.55,0,PGA,scaffold3,84441335,60,x,x,x,x,x,x,x,x,x,x,x
consensus_16889,SA16,10.53,16,PGA,scaffold3,83616668,43,x,x,x,x,x,x,x,x,x,x,x
consensus_12126,SA16,10.53,16,PGA,scaffold3,83477124,60,x,x,x,x,x,x,x,x,x,x,x
consensus_30376,SA16,10.53,0,PGA,scaffold3,83459834,60,x,x,x,x,x,x,x,x,x,x,x
consensus_9408,SA16,11.52,0,PGA,scaffold3,82069910,60,x,x,x,x,x,x,x,x,x,x,x
consensus_20427,SA16,11.52,16,PGA,scaffold3,82205352,60,x,x,x,x,x,x,x,x,x,x,x
consensus_38212,SA16,12.5,0,PGA,scaffold3,81905876,60,x,x,x,x,x,x,x,x,x,x,x
consensus_32465,SA16,12.83,0,PGA,scaffold3,81969076,60,x,x,x,x,x,x,x,x,x,x,x
consensus_19671,SA16,13.15,0,PGA,scaffold3,81837561,60,x,x,x,x,x,x,x,x,x,x,x
consensus_26862,SA16,13.48,16,PGA,scaffold3,81134705,60,x,x,x,x,x,x,x,x,x,x,x
consensus_56010,SA16,15.8,16,PGA,scaffold3,80226948,60,x,x,x,x,x,x,x,x,x,x,x
consensus_36334,SA16,15.8,0,Contig,15657.017722F,1676,60,x,x,x,x,x,x,x,x,x,x,x
consensus_51602,SA16,16.13,16,PGA,scaffold3,80262843,60,x,x,x,x,x,x,x,x,x,x,x
consensus_63161,SA16,17.45,16,PGA,scaffold3,79861479,60,x,x,x,x,x,x,x,x,x,x,x
consensus_33329,SA16,20.11,0,PGA,scaffold3,75792124,60,x,x,x,x,x,x,x,x,x,x,x
consensus_33657,SA16,21.76,0,PGA,scaffold3,76865678,56,x,x,x,x,x,x,x,x,x,x,x
consensus_736,SA16,21.76,16,PGA,scaffold3,77099782,60,x,x,x,x,x,x,x,x,x,x,x
consensus_8098,SA16,21.76,0,PGA,scaffold3,76762730,60,x,x,x,x,x,x,x,x,x,x,x
consensus_500,SA16,21.76,16,PGA,scaffold3,77488073,32,x,x,x,x,x,x,x,x,x,x,x
consensus_24896,SA16,23.06,0,PGA,scaffold3,75759637,60,x,x,x,x,x,x,x,x,x,x,x
consensus_21618,SA16,23.06,0,PGA,scaffold3,79261893,60,x,x,x,x,x,x,x,x,x,x,x
consensus_8191,SA16,23.06,0,PGA,scaffold3,79280482,54,x,x,x,x,x,x,x,x,x,x,x
consensus_29381,SA16,23.06,16,PGA,scaffold3,88515595,46,x,x,x,x,x,x,x,x,x,x,x
consensus_4079,SA16,24.04,0,PGA,scaffold3,34568064,60,x,x,x,x,x,x,x,x,x,x,x
consensus_985,SA16,24.37,16,PGA,scaffold3,72018048,60,x,x,x,x,x,x,x,x,x,x,x
consensus_67199,SA16,24.7,16,PGA,scaffold3,71601443,56,x,x,x,x,x,x,x,x,x,x,x
consensus_52003,SA16,24.7,16,PGA,scaffold3,70470300,60,x,x,x,x,x,x,x,x,x,x,x
consensus_3617,SA16,25.02,0,PGA,scaffold3,78269828,60,x,x,x,x,x,x,x,x,x,x,x
consensus_34388,SA16,25.02,16,PGA,scaffold3,19203461,46,x,x,x,x,x,x,x,x,x,x,x
consensus_37047,SA16,25.02,0,PGA,scaffold3,71364610,60,x,x,x,x,x,x,x,x,x,x,x
consensus_49950,SA16,25.02,16,PGA,scaffold3,73984671,60,x,x,x,x,x,x,x,x,x,x,x
consensus_32692,SA16,25.02,16,PGA,scaffold3,71737778,60,x,x,x,x,x,x,x,x,x,x,x
consensus_28557,SA16,25.02,16,PGA,scaffold3,70773468,60,x,x,x,x,x,x,x,x,x,x,x
consensus_40631,SA16,25.02,16,PGA,scaffold3,70990709,60,x,x,x,x,x,x,x,x,x,x,x
consensus_29359,SA16,25.02,16,PGA,scaffold3,72186513,60,x,x,x,x,x,x,x,x,x,x,x
consensus_32649,SA16,25.02,0,PGA,scaffold3,69878037,60,x,x,x,x,x,x,x,x,x,x,x
consensus_53474,SA16,25.35,16,PGA,scaffold3,71094522,60,x,x,x,x,x,x,x,x,x,x,x
consensus_50748,SA16,25.35,16,PGA,scaffold3,70460408,60,x,x,x,x,x,x,x,x,x,x,x
consensus_40758,SA16,25.35,16,PGA,scaffold3,70520603,60,x,x,x,x,x,x,x,x,x,x,x
consensus_27648,SA16,25.35,0,PGA,scaffold3,71551257,60,x,x,x,x,x,x,x,x,x,x,x
consensus_63485,SA16,26.33,0,PGA,scaffold3,66727846,60,x,x,x,x,x,x,x,x,x,x,x
consensus_3192,SA16,26.33,0,PGA,scaffold3,66936090,45,x,x,x,x,x,x,x,x,x,x,x
consensus_61466,SA16,26.65,0,PGA,scaffold3,59436980,60,x,x,x,x,x,x,x,x,x,x,x
consensus_44682,SA16,26.98,16,PGA,scaffold3,65322938,60,x,x,x,x,x,x,x,x,x,x,x
consensus_22283,SA16,26.98,16,PGA,scaffold3,70255196,60,x,x,x,x,x,x,x,x,x,x,x
consensus_2806,SA16,27.3,0,PGA,scaffold3,67037478,60,x,x,x,x,x,x,x,x,x,x,x
consensus_49903,SA16,27.63,0,PGA,scaffold3,66358993,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47820,SA16,27.63,0,PGA,scaffold3,27304312,60,x,x,x,x,x,x,x,x,x,x,x
consensus_6938,SA16,28.28,16,PGA,scaffold3,61538470,60,x,x,x,x,x,x,x,x,x,x,x
consensus_50987,SA16,28.28,16,PGA,scaffold3,64960917,60,x,x,x,x,x,x,x,x,x,x,x
consensus_892,SA16,28.61,16,PGA,scaffold3,62080703,60,x,x,x,x,x,x,x,x,x,x,x
consensus_9804,SA16,28.61,16,PGA,scaffold3,61022009,60,x,x,x,x,x,x,x,x,x,x,x
consensus_11760,SA16,28.93,0,PGA,scaffold3,53710015,60,x,x,x,x,x,x,x,x,x,x,x
consensus_17379,SA16,28.93,16,PGA,scaffold3,68071148,60,x,x,x,x,x,x,x,x,x,x,x
consensus_38945,SA16,28.93,16,PGA,scaffold3,58481538,59,x,x,x,x,x,x,x,x,x,x,x
consensus_26268,SA16,28.93,0,PGA,scaffold3,61509105,49,x,x,x,x,x,x,x,x,x,x,x
consensus_56672,SA16,29.26,16,PGA,scaffold3,65053663,60,x,x,x,x,x,x,x,x,x,x,x
consensus_34611,SA16,29.26,16,PGA,scaffold3,68042967,60,x,x,x,x,x,x,x,x,x,x,x
consensus_50217,SA16,29.26,16,PGA,scaffold3,61738712,60,x,x,x,x,x,x,x,x,x,x,x
consensus_57121,SA16,29.26,16,PGA,scaffold3,61538556,60,x,x,x,x,x,x,x,x,x,x,x
consensus_17715,SA16,29.58,0,PGA,scaffold3,60396323,60,x,x,x,x,x,x,x,x,x,x,x
consensus_38873,SA16,30.23,16,PGA,scaffold3,56332423,60,x,x,x,x,x,x,x,x,x,x,x
consensus_39634,SA16,31.22,0,PGA,scaffold3,57005903,60,x,x,x,x,x,x,x,x,x,x,x
consensus_39522,SA16,31.87,0,PGA,scaffold3,75141682,56,x,x,x,x,x,x,x,x,x,x,x
consensus_12623,SA16,32.2,16,PGA,scaffold3,56226864,60,x,x,x,x,x,x,x,x,x,x,x
consensus_11456,SA16,33.51,0,PGA,scaffold3,38354461,60,x,x,x,x,x,x,x,x,x,x,x
consensus_39366,SA16,33.51,0,PGA,scaffold3,38489928,60,x,x,x,x,x,x,x,x,x,x,x
consensus_36587,SA16,33.51,16,PGA,scaffold3,55544741,54,x,x,x,x,x,x,x,x,x,x,x
consensus_23962,SA16,33.83,16,PGA,scaffold3,59382213,60,x,x,x,x,x,x,x,x,x,x,x
consensus_36027,SA16,33.83,16,PGA,scaffold3,55445192,60,x,x,x,x,x,x,x,x,x,x,x
consensus_5633,SA16,33.83,0,PGA,scaffold3,38451073,48,x,x,x,x,x,x,x,x,x,x,x
consensus_22239,SA16,34.16,0,PGA,scaffold3,57347538,60,x,x,x,x,x,x,x,x,x,x,x
consensus_19232,SA16,37.45,0,PGA,scaffold3,49000874,60,x,x,x,x,x,x,x,x,x,x,x
consensus_9057,SA16,37.45,16,PGA,scaffold3,49000960,60,x,x,x,x,x,x,x,x,x,x,x
consensus_16894,SA16,37.45,16,PGA,scaffold3,45762032,60,x,x,x,x,x,x,x,x,x,x,x
consensus_59684,SA16,37.78,0,PGA,scaffold3,46363906,60,x,x,x,x,x,x,x,x,x,x,x
consensus_9278,SA16,38.76,0,PGA,scaffold3,46729606,32,x,x,x,x,x,x,x,x,x,x,x
consensus_32056,SA16,38.76,0,PGA,scaffold3,45179056,38,x,x,x,x,x,x,x,x,x,x,x
consensus_42135,SA16,39.75,16,PGA,scaffold3,52794677,60,x,x,x,x,x,x,x,x,x,x,x
consensus_43261,SA16,39.75,0,PGA,scaffold3,52794591,60,x,x,x,x,x,x,x,x,x,x,x
consensus_51295,SA16,50.9,0,PGA,scaffold3,50634196,60,x,x,x,x,x,x,x,x,x,x,x
consensus_8499,SA16,52.89,0,PGA,scaffold3,3426937,60,x,x,x,x,x,x,x,x,x,x,x
consensus_33148,SA16,53.54,0,PGA,scaffold3,57295448,60,x,x,x,x,x,x,x,x,x,x,x
consensus_42449,SA16,53.54,16,PGA,scaffold3,56738607,60,x,x,x,x,x,x,x,x,x,x,x
consensus_21514,SA16,53.54,0,PGA,scaffold3,56590397,60,x,x,x,x,x,x,x,x,x,x,x
consensus_28221,SA16,53.54,16,PGA,scaffold3,44403020,60,x,x,x,x,x,x,x,x,x,x,x
consensus_39916,SA16,53.87,0,PGA,scaffold3,50634110,60,x,x,x,x,x,x,x,x,x,x,x
consensus_14814,SA16,53.87,16,PGA,scaffold3,48567976,56,x,x,x,x,x,x,x,x,x,x,x
consensus_44347,SA16,54.52,16,PGA,scaffold3,48485154,60,x,x,x,x,x,x,x,x,x,x,x
consensus_35334,SA17,3.01,16,PGA,scaffold19,51706388,60,x,x,x,x,x,x,x,x,x,x,x
consensus_41829,SA17,4.65,0,PGA,scaffold19,38339074,60,x,x,x,x,x,x,x,x,x,x,x
consensus_65672,SA17,6.29,0,PGA,scaffold19,33832819,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47095,SA17,6.29,0,PGA,scaffold19,49313089,60,x,x,x,x,x,x,x,x,x,x,x
consensus_414,SA17,8.25,0,PGA,scaffold19,45253253,60,x,x,x,x,x,x,x,x,x,x,x
consensus_17226,SA17,8.58,0,PGA,scaffold19,47579096,60,x,x,x,x,x,x,x,x,x,x,x
consensus_44641,SA17,8.58,0,PGA,scaffold19,42670650,60,x,x,x,x,x,x,x,x,x,x,x
consensus_37323,SA17,8.58,16,PGA,scaffold19,53024195,60,x,x,x,x,x,x,x,x,x,x,x
consensus_36905,SA17,8.58,16,PGA,scaffold19,37684318,60,x,x,x,x,x,x,x,x,x,x,x
consensus_48979,SA17,8.58,0,Contig,6031.005893F,35910,60,x,x,x,x,x,x,x,x,x,x,x
consensus_27241,SA17,8.58,0,PGA,scaffold19,50511975,60,x,x,x,x,x,x,x,x,x,x,x
consensus_29870,SA17,8.9,16,PGA,scaffold19,40477956,60,x,x,x,x,x,x,x,x,x,x,x
consensus_60079,SA17,8.9,0,PGA,scaffold19,38361883,60,x,x,x,x,x,x,x,x,x,x,x
consensus_25971,SA17,9.56,0,PGA,scaffold19,41348127,54,x,x,x,x,x,x,x,x,x,x,x
consensus_16866,SA17,10.87,0,PGA,scaffold19,51482224,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47331,SA17,10.87,0,Contig,14765.016252F,2197,60,x,x,x,x,x,x,x,x,x,x,x
consensus_44481,SA17,10.87,0,PGA,scaffold19,53080246,60,x,x,x,x,x,x,x,x,x,x,x
consensus_21814,SA17,11.19,16,PGA,scaffold19,48941394,60,x,x,x,x,x,x,x,x,x,x,x
consensus_72371,SA17,11.19,0,PGA,scaffold19,52947902,60,x,x,x,x,x,x,x,x,x,x,x
consensus_8989,SA17,11.19,0,PGA,scaffold19,50424435,60,x,x,x,x,x,x,x,x,x,x,x
consensus_5374,SA17,11.52,0,PGA,scaffold19,35907676,60,x,x,x,x,x,x,x,x,x,x,x
consensus_49613,SA17,11.52,16,PGA,scaffold14,60701770,60,x,x,x,x,x,x,x,x,x,x,x
consensus_28494,SA17,11.52,0,PGA,scaffold19,44874956,60,x,x,x,x,x,x,x,x,x,x,x
consensus_55681,SA17,11.52,0,PGA,scaffold19,53080332,60,x,x,x,x,x,x,x,x,x,x,x
consensus_2570,SA17,12.83,16,PGA,scaffold19,35927440,54,x,x,x,x,x,x,x,x,x,x,x
consensus_18928,SA17,12.83,0,PGA,scaffold19,40011987,60,x,x,x,x,x,x,x,x,x,x,x
consensus_11027,SA17,14.47,0,PGA,scaffold19,50822303,60,x,x,x,x,x,x,x,x,x,x,x
consensus_26761,SA17,14.8,0,PGA,scaffold19,50364619,60,x,x,x,x,x,x,x,x,x,x,x
consensus_28070,SA17,22.13,16,PGA,scaffold19,47373076,60,x,x,x,x,x,x,x,x,x,x,x
consensus_9942,SA17,24.12,16,PGA,scaffold19,47151956,60,x,x,x,x,x,x,x,x,x,x,x
consensus_12401,SA17,26.07,16,PGA,scaffold19,36524526,60,x,x,x,x,x,x,x,x,x,x,x
consensus_44644,SA17,26.4,16,PGA,scaffold19,36151453,43,x,x,x,x,x,x,x,x,x,x,x
consensus_432,SA17,28.05,16,PGA,scaffold14,42112826,60,x,x,x,x,x,x,x,x,x,x,x
consensus_25729,SA17,28.38,16,PGA,scaffold19,45274285,60,x,x,x,x,x,x,x,x,x,x,x
consensus_3165,SA17,28.7,16,PGA,scaffold19,39042913,60,x,x,x,x,x,x,x,x,x,x,x
consensus_51274,SA17,28.7,16,PGA,scaffold19,45253167,60,x,x,x,x,x,x,x,x,x,x,x
consensus_46494,SA17,28.7,0,PGA,scaffold19,45274371,60,x,x,x,x,x,x,x,x,x,x,x
consensus_1728,SA17,28.7,16,PGA,scaffold19,43536933,60,x,x,x,x,x,x,x,x,x,x,x
consensus_39359,SA17,29.03,0,PGA,scaffold19,39422126,60,x,x,x,x,x,x,x,x,x,x,x
consensus_46071,SA17,29.68,16,PGA,scaffold19,35076562,60,x,x,x,x,x,x,x,x,x,x,x
consensus_20683,SA17,30,0,PGA,scaffold19,8409679,60,x,x,x,x,x,x,x,x,x,x,x
consensus_39811,SA17,30,0,PGA,scaffold19,30903797,60,x,x,x,x,x,x,x,x,x,x,x
consensus_39779,SA17,30,0,PGA,scaffold19,31192394,60,x,x,x,x,x,x,x,x,x,x,x
consensus_38771,SA17,30,0,PGA,scaffold19,31192480,60,x,x,x,x,x,x,x,x,x,x,x
consensus_36029,SA17,30,0,PGA,scaffold19,31247669,60,x,x,x,x,x,x,x,x,x,x,x
consensus_47753,SA17,30,16,PGA,scaffold19,31247755,60,x,x,x,x,x,x,x,x,x,x,x
consensus_34017,SA17,30.33,16,PGA,scaffold19,15925420,60,x,x,x,x,x,x,x,x,x,x,x
consensus_35288,SA17,30.33,0,PGA,scaffold19,30424130,60,x,x,x,x,x,x,x,x,x,x,x
consensus_14932,SA17,30.33,0,PGA,scaffold19,3830396,60,x,x,x,x,x,x,x,x,x,x,x
consensus_35230,SA17,30.33,0,PGA,scaffold19,31281970,60,x,x,x,x,x,x,x,x,x,x,x
consensus_61515,SA17,30.98,0,PGA,scaffold19,28460854,60,x,x,x,x,x,x,x,x,x,x,x
consensus_13666,SA17,30.98,16,PGA,scaffold6,57423541,60,x,x,x,x,x,x,x,x,x,x,x
consensus_13526,SA17,30.98,0,PGA,scaffold19,4044116,60,x,x,x,x,x,x,x,x,x,x,x
consensus_32756,SA17,30.98,0,PGA,scaffold19,24603028,38,x,x,x,x,x,x,x,x,x,x,x
consensus_7453,SA17,30.98,0,PGA,scaffold19,11579401,60,x,x,x,x,x,x,x,x,x,x,x
consensus_38171,SA17,30.98,0,PGA,scaffold19,30003427,60,x,x,x,x,x,x,x,x,x,x,x
consensus_57446,SA17,31.31,0,PGA,scaffold19,29641512,60,x,x,x,x,x,x,x,x,x,x,x
consensus_49511,SA17,32.29,16,PGA,scaffold19,27578492,60,x,x,x,x,x,x,x,x,x,x,x
consensus_2341,SA17,32.94,16,PGA,scaffold19,27415090,60,x,x,x,x,x,x,x,x,x,x,x
consensus_10677,SA17,33.6,16,PGA,scaffold19,6212020,60,x,x,x,x,x,x,x,x,x,x,x
consensus_7053,SA17,33.92,0,PGA,scaffold19,26383231,40,x,x,x,x,x,x,x,x,x,x,x
consensus_49082,SA17,34.25,0,PGA,scaffold19,13499148,60,x,x,x,x,x,x,x,x,x,x,x
consensus_1688,SA17,34.25,0,PGA,scaffold19,6601863,43,x,x,x,x,x,x,x,x,x,x,x
consensus_2434,SA17,34.57,0,PGA,scaffold17,24198187,40,x,x,x,x,x,x,x,x,x,x,x
consensus_44832,SA17,34.9,0,PGA,scaffold19,25007358,60,x,x,x,x,x,x,x,x,x,x,x
consensus_48277,SA17,38.26,0,PGA,scaffold19,22764407,60,x,x,x,x,x,x,x,x,x,x,x
consensus_52932,SA17,38.58,16,PGA,scaffold19,23385197,60,x,x,x,x,x,x,x,x,x,x,x
consensus_52134,SA17,40.57,0,PGA,scaffold19,4405822,60,x,x,x,x,x,x,x,x,x,x,x
consensus_1926,SA17,40.57,0,PGA,scaffold19,17676426,60,x,x,x,x,x,x,x,x,x,x,x
consensus_23143,SA17,40.89,0,PGA,scaffold19,16622065,60,x,x,x,x,x,x,x,x,x,x,x
consensus_29161,SA17,41.55,0,PGA,scaffold19,16524957,60,x,x,x,x,x,x,x,x,x,x,x
consensus_22165,SA17,41.87,16,PGA,scaffold19,15712392,38,x,x,x,x,x,x,x,x,x,x,x
consensus_40835,SA17,42.2,0,PGA,scaffold19,14018352,60,x,x,x,x,x,x,x,x,x,x,x
consensus_12167,SA17,42.52,0,PGA,scaffold19,14551413,60,x,x,x,x,x,x,x,x,x,x,x
consensus_35605,SA17,42.85,16,PGA,scaffold19,14099435,60,x,x,x,x,x,x,x,x,x,x,x
consensus_14702,SA17,44.16,0,PGA,scaffold19,13791922,60,x,x,x,x,x,x,x,x,x,x,x
consensus_61286,SA17,45.47,16,PGA,scaffold19,10052856,60,x,x,x,x,x,x,x,x,x,x,x
consensus_30884,SA17,45.8,0,PGA,scaffold19,22301137,60,x,x,x,x,x,x,x,x,x,x,x
consensus_32522,SA17,45.8,0,PGA,scaffold19,12883769,60,x,x,x,x,x,x,x,x,x,x,x
consensus_692,SA17,46.78,0,PGA,scaffold19,30424044,60,x,x,x,x,x,x,x,x,x,x,x
consensus_22590,SA17,46.78,0,PGA,scaffold6,57805551,45,x,x,x,x,x,x,x,x,x,x,x
consensus_911,SA17,47.43,16,PGA,scaffold19,10525779,60,x,x,x,x,x,x,x,x,x,x,x
consensus_36554,SA17,56.68,0,PGA,scaffold19,22497553,60,x,x,x,x,x,x,x,x,x,x,x
consensus_33278,SA17,57,0,PGA,scaffold19,6565688,60,x,x,x,x,x,x,x,x,x,x,x
consensus_49156,SA17,58.32,0,PGA,scaffold19,2684173,60,x,x,x,x,x,x,x,x,x,x,x
consensus_43875,SA17,58.32,0,PGA,scaffold19,3004312,60,x,x,x,x,x,x,x,x,x,x,x
consensus_48708,SA17,58.97,0,PGA,scaffold19,4406785,51,x,x,x,x,x,x,x,x,x,x,x
consensus_7634,SA17,59.62,0,PGA,scaffold19,3117518,41,x,x,x,x,x,x,x,x,x,x,x
consensus_56044,SA17,59.62,0,PGA,scaffold19,20818400,60,x,x,x,x,x,x,x,x,x,x,x
consensus_49628,SA17,59.62,16,PGA,scaffold19,2190187,60,x,x,x,x,x,x,x,x,x,x,x
consensus_63445,SA17,59.95,16,PGA,scaffold19,5149610,56,x,x,x,x,x,x,x,x,x,x,x
consensus_5784,SA17,59.95,0,PGA,scaffold19,3117432,60,x,x,x,x,x,x,x,x,x,x,x
consensus_26136,SA17,59.95,16,PGA,scaffold19,4861722,60,x,x,x,x,x,x,x,x,x,x,x
consensus_62062,SA17,60.28,0,PGA,scaffold19,3915067,60,x,x,x,x,x,x,x,x,x,x,x
consensus_7696,SA17,60.28,16,PGA,scaffold19,709097,60,x,x,x,x,x,x,x,x,x,x,x
consensus_3658,SA17,61.59,0,PGA,scaffold6,57834184,60,x,x,x,x,x,x,x,x,x,x,x
consensus_878,SA17,61.59,16,PGA,scaffold19,15142582,32,x,x,x,x,x,x,x,x,x,x,x
consensus_27487,SA17,61.59,0,PGA,scaffold19,15925506,60,x,x,x,x,x,x,x,x,x,x,x
consensus_12687,SA17,61.92,0,PGA,scaffold19,11848024,60,x,x,x,x,x,x,x,x,x,x,x
consensus_51068,SA17,62.57,16,PGA,scaffold19,4075397,60,x,x,x,x,x,x,x,x,x,x,x
consensus_32222,SA17,62.9,16,PGA,scaffold19,10083739,60,x,x,x,x,x,x,x,x,x,x,x
consensus_40814,SA17,63.55,16,PGA,scaffold19,19603563,60,x,x,x,x,x,x,x,x,x,x,x
consensus_335,SA18,0,16,PGA,scaffold28,4041962,60,x,x,x,x,x,x,x,x,x,x,x
consensus_36984,SA18,2.31,0,PGA,scaffold28,3475678,60,x,x,x,x,x,x,x,x,x,x,x
consensus_56671,SA18,2.64,0,PGA,scaffold28,5003402,60,x,x,x,x,x,x,x,x,x,x,x
consensus_45286,SA18,2.96,0,PGA,scaffold28,4573459,60,x,x,x,x,x,x,x,x,x,x,x
consensus_31236,SA18,2.96,16,PGA,scaffold28,2583510,60,x,x,x,x,x,x,x,x,x,x,x
consensus_42060,SA18,3.29,16,PGA,scaffold28,2467745,60,x,x,x,x,x,x,x,x,x,x,x
consensus_29686,SA18,4.27,0,PGA,scaffold28,7494881,45,x,x,x,x,x,x,x,x,x,x,x
consensus_42039,SA18,4.27,16,PGA,scaffold28,3635087,60,x,x,x,x,x,x,x,x,x,x,x
consensus_37516,SA18,5.26,16,PGA,scaffold28,8697649,60,x,x,x,x,x,x,x,x,x,x,x
consensus_6066,SA18,5.26,0,PGA,scaffold28,3625604,60,x,x,x,x,x,x,x,x,x,x,x
consensus_9260,SA18,5.58,0,PGA,scaffold28,3569398,60,x,x,x,x,x,x,x,x,x,x,x
consensus_24823,SA18,5.91,0,PGA,scaffold28,3869136,60,x,x,x,x,x,x,x,x,x,x,x
consensus_32223,SA18,6.56,16,PGA,scaffold28,487488,60,x,x,x,x,x,x,x,x,x,x,x
consensus_10873,SA18,6.56,0,PGA,scaffold28,487574,60,x,x,x,x,x,x,x,x,x,x,x
consensus_28806,SA18,8.2,0,PGA,scaffold21,4501329,60,x,x,x,x,x,x,x,x,x,x,x
consensus_32360,SA18,8.86,16,Contig,15577.017512F,5178,60,x,x,x,x,x,x,x,x,x,x,x
